Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Denver Nuggets,8,1945,45.1,88.4,.510,12.0,34.0,.353,33.1,54.5,.608,21.5,25.1,.857,10.7,35.7,46.4,30.4,8.2,4.1,13.6,20.0,123.6
2,Houston Rockets,8,1970,42.8,87.7,.489,12.8,29.6,.433,30.0,58.0,.517,23.9,30.3,.790,14.7,34.0,48.7,26.0,9.3,5.5,17.4,20.4,122.4
3,Philadelphia 76ers,8,1945,42.1,89.0,.473,14.2,35.5,.400,27.9,53.5,.522,22.3,28.3,.788,12.4,29.4,41.8,26.0,7.6,6.7,14.4,21.8,120.7
4,New York Knicks,8,1920,42.3,94.3,.449,16.6,44.2,.375,25.7,50.1,.514,19.3,22.7,.849,15.5,33.1,48.5,27.1,7.9,4.4,14.2,20.2,120.5
5,Minnesota Timberwolves,9,2160,43.0,85.2,.505,14.5,34.7,.419,28.4,50.5,.563,19.1,25.3,.757,10.5,31.3,41.8,26.7,7.7,5.5,16.0,23.5,119.6
6,Oklahoma City Thunder,10,2500,42.6,89.6,.475,13.5,39.4,.342,29.1,50.2,.579,20.9,24.1,.863,10.2,36.2,46.4,24.7,10.2,5.4,11.9,21.7,119.5
7,Los Angeles Lakers,9,2160,42.5,81.8,.520,10.3,31.1,.330,32.3,50.7,.636,23.5,29.8,.789,8.8,30.8,39.7,26.6,8.8,3.6,16.7,21.3,118.9
8,San Antonio Spurs,8,1945,41.6,84.7,.491,12.7,34.7,.365,28.9,50.0,.579,22.7,29.7,.764,12.2,33.5,45.6,24.7,9.6,5.6,16.9,23.1,118.5
9,Milwaukee Bucks,9,2160,43.7,87.1,.502,15.2,38.4,.397,28.5,48.7,.585,15.3,21.9,.701,8.8,32.5,41.3,26.1,7.5,4.8,14.0,22.9,118.0
10,Charlotte Hornets,9,2160,40.9,87.4,.468,14.4,39.0,.368,26.5,48.4,.549,21.3,26.2,.812,12.3,34.4,46.7,26.2,6.5,5.0,16.7,20.7,117.5
11,Cleveland Cavaliers,9,2160,40.7,88.9,.458,16.2,44.3,.366,24.5,44.5,.550,19.8,25.7,.771,11.9,29.4,41.3,26.9,10.3,5.0,15.2,21.2,117.5
12,Toronto Raptors,9,2160,42.7,87.0,.491,12.7,32.8,.387,30.0,54.3,.553,19.1,24.6,.778,9.7,31.2,40.9,29.2,8.5,4.1,14.5,23.4,117.2
13,Chicago Bulls,8,1920,43.1,87.0,.495,13.3,33.9,.391,29.8,53.2,.561,17.6,22.3,.786,10.2,35.6,45.8,29.6,8.0,4.5,15.6,20.7,117.0
14,Miami Heat,9,2160,42.8,86.0,.498,13.3,34.0,.391,29.5,52.0,.567,17.9,22.4,.797,7.9,32.9,40.8,28.2,9.2,3.2,14.2,19.1,116.8
15,Boston Celtics,10,2400,43.3,97.0,.447,15.3,47.5,.322,28.1,49.5,.567,14.7,18.8,.780,13.2,30.7,43.9,24.2,9.7,5.5,11.6,25.2,116.6
16,Detroit Pistons,9,2160,42.4,89.5,.474,10.2,30.3,.336,32.3,59.2,.545,21.0,28.8,.728,13.8,33.8,47.6,25.8,9.3,6.4,14.6,25.0,116.0
17,Portland Trail Blazers,8,1920,39.5,88.7,.446,13.7,40.5,.338,25.8,48.2,.536,23.0,27.5,.834,13.2,27.3,40.5,25.2,11.2,4.6,16.5,21.9,115.7
18,Phoenix Suns,9,2185,41.3,89.8,.460,16.0,42.7,.375,25.3,47.1,.536,16.7,20.6,.809,12.6,29.9,42.5,27.2,10.0,4.8,16.9,24.1,115.3
19,Golden State Warriors,10,2425,39.8,86.0,.463,15.9,41.7,.380,24.0,44.3,.541,19.5,23.1,.845,10.1,31.7,41.8,28.0,8.6,4.3,16.5,20.8,115.0
20,Orlando Magic,9,2160,39.7,83.0,.478,10.9,31.0,.351,28.8,52.0,.553,24.2,31.7,.764,12.1,32.0,44.1,23.9,7.8,5.6,16.4,22.1,114.4
21,Los Angeles Clippers,8,1920,40.9,85.6,.477,14.0,37.8,.370,26.9,47.8,.562,18.6,22.6,.823,11.2,32.7,44.0,25.7,10.3,4.8,18.2,19.9,114.3
22,Sacramento Kings,9,2160,41.5,86.7,.479,11.2,29.8,.376,30.3,56.9,.533,18.4,23.5,.782,8.3,30.6,38.8,25.4,8.7,3.6,13.8,19.8,112.7
23,Memphis Grizzlies,10,2400,38.7,87.3,.443,12.8,38.4,.333,25.9,48.9,.529,22.3,26.5,.841,10.4,31.7,42.0,26.6,7.8,4.0,14.4,20.6,112.4
24,Atlanta Hawks,9,2160,40.3,86.1,.468,10.5,31.5,.332,29.9,54.6,.547,21.1,27.0,.782,10.7,31.7,42.4,26.8,8.7,5.0,14.7,21.6,112.3
25,Brooklyn Nets,9,2160,38.9,88.3,.441,14.0,42.0,.332,24.9,46.3,.539,20.2,26.3,.770,12.5,26.9,39.5,24.6,7.4,2.3,16.1,23.1,112.0
26,Utah Jazz,9,2185,37.7,87.7,.430,11.7,38.2,.305,26.1,49.5,.527,23.9,28.8,.828,14.5,32.9,47.4,27.0,7.5,3.4,17.4,21.3,111.0
27,New Orleans Pelicans,8,1945,38.4,89.4,.429,12.2,34.7,.353,26.1,54.7,.478,19.9,26.9,.742,13.6,29.2,42.8,22.3,8.7,2.9,15.0,20.6,108.9
28,Washington Wizards,9,2185,39.6,86.8,.456,12.9,34.4,.375,26.7,52.4,.509,14.7,20.7,.713,10.6,32.9,43.5,25.3,5.8,5.6,16.9,22.5,106.9
29,Indiana Pacers,8,1970,37.4,91.7,.408,11.7,37.8,.309,25.7,53.8,.477,20.2,27.5,.735,13.8,33.5,47.4,22.7,6.0,4.3,13.4,23.4,106.6
30,Dallas Mavericks,9,2160,36.9,82.9,.445,9.8,32.0,.307,27.1,50.9,.532,19.6,25.8,.761,8.4,33.5,42.0,22.9,7.7,5.2,16.0,20.7,103.2